club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,last_season,filename,url
1085,vitoria-setubal-fc,Vitória Setúbal FC,PO1,,29,26.0,10,34.5,0,Estádio do Bonfim,18642,+-0,,2019,../data/raw/transfermarkt-scraper/2019/clubs.json.gz,https://www.transfermarkt.co.uk/vitoria-setubal-fc/startseite/verein/1085
10870,fortaleza-esporte-clube,Fortaleza Esporte Clube,BRA1,,29,27.1,5,17.2,0,Estádio Governador Plácido Castelo,63904,+€6.25m,Juan Pablo Vojvoda,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fortaleza-esporte-clube/startseite/verein/10870
1090,az-alkmaar,AZ Alkmaar,NL1,,31,24.3,11,35.5,3,AFAS Stadion,19500,+€15.30m,Maarten Martens,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/az-alkmaar/startseite/verein/1090
1091,paok-thessaloniki,Panthessalonikios Athlitikos Omilos Konstantinoupoliton,GR1,,31,28.0,18,58.1,10,Toumba Stadium,28703,€-9.80m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/paok-thessaloniki/startseite/verein/1091
1092,if-brommapojkarna,Idrottsföreningen  Brommapojkarna,SE1,,31,23.2,13,41.9,0,Grimsta IP,5000,+€11.59m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/if-brommapojkarna/startseite/verein/1092
1095,es-troyes-ac,ESTAC Troyes,FR1,,29,23.1,16,57.1,5,Stade de l'Aube,21877,+-0,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/es-troyes-ac/startseite/verein/1095
1096,royal-antwerpen-fc,Royal Antwerp FC,BE1,,23,22.7,12,52.2,3,Bosuilstadion,21000,€-2.00m,Stef Wils,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/royal-antwerpen-fc/startseite/verein/1096
10997,clube-do-remo-pa-,Clube do Remo,BRA1,,37,27.9,6,16.2,0,Estádio Evandro Almeida,13792,€-2.84m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/clube-do-remo-pa-/startseite/verein/10997
11,fc-arsenal,Arsenal FC,GB1,,29,26.2,19,65.5,21,Emirates Stadium,60704,€-20.00m,Mikel Arteta,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fc-arsenal/startseite/verein/11
1100,sk-brann,Sportsklubben Brann,NO1,,29,25.4,11,37.9,5,Brann Stadion,17500,+€9.79m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/sk-brann/startseite/verein/1100
1101,if-elfsborg-boras,Idrottsföreningen Elfsborg,SE1,,29,26.0,13,44.8,1,Borås Arena,16200,+€9.34m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/if-elfsborg-boras/startseite/verein/1101
110302,avs-futebol-sad,Avs Futebol,PO1,,22,28.6,16,72.7,0,Estádio do Clube Desportivo das Aves,6230,+€4.00m,José Mota,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/avs-futebol-sad/startseite/verein/110302
1106,club-de-gimnasia-y-esgrima-la-plata,Club de Gimnasia y Esgrima La Plata,ARG1,,31,25.2,2,6.5,0,Juan Carmelo Zerillo,30973,+€2.00m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/club-de-gimnasia-y-esgrima-la-plata/startseite/verein/1106
1108,deportivo-alaves,Deportivo Alavés,ES1,,27,27.0,14,51.9,4,Mendizorroza,19840,€-2.00m,Eduardo Coudet,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/deportivo-alaves/startseite/verein/1108
1109,bk-hacken,BK Häcken,SE1,,27,26.0,13,48.1,1,Nordic Wellness Arena,6316,+€15.24m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/bk-hacken/startseite/verein/1109
1110,huddersfield-town,Huddersfield Town,GB1,,33,26.7,12,36.4,3,John Smith's Stadium,24500,+€11.28m,,2018,../data/raw/transfermarkt-scraper/2018/clubs.json.gz,https://www.transfermarkt.co.uk/huddersfield-town/startseite/verein/1110
11126,mordovia-saransk,Mordovia Saransk (-2020),RU1,,0,,0,,0,Mordovia Arena,44442,+-0,,2015,../data/raw/transfermarkt-scraper/2015/clubs.json.gz,https://www.transfermarkt.co.uk/mordovia-saransk/startseite/verein/11126
11127,ural-ekaterinburg,Ural Yekaterinburg,RU1,,30,26.5,11,36.7,3,Yekaterinburg Arena,23000,+€880k,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/ural-ekaterinburg/startseite/verein/11127
1114,al-hilal-riad,Al-Hilal Saudi Football Club,SA1,,27,27.8,14,51.9,16,Kingdom Arena,30000,€-160.55m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/al-hilal-riad/startseite/verein/1114
11141,toronto-fc,Toronto FC,MLS1,,27,26.3,14,51.9,8,BMO Field,30991,€-26.78m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/toronto-fc/startseite/verein/11141
1118,orgryte-is,Örgryte IS,SE1,,28,26.6,5,17.9,1,Gamla Ullevi,18454,+-0,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/orgryte-is/startseite/verein/1118
11194,nk-lokomotiva-zagreb,NK Lokomotiva Zagreb,KR1,,47,24.1,15,31.9,2,Kranjceviceva,8850,+-0,Nikica Jelavic,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/nk-lokomotiva-zagreb/startseite/verein/11194
1123,norwich-city,Norwich City,GB1,,25,26.0,17,68.0,12,Carrow Road,27244,€-10.33m,,2021,../data/raw/transfermarkt-scraper/2021/clubs.json.gz,https://www.transfermarkt.co.uk/norwich-city/startseite/verein/1123
1124,fakel-voronezh,Fakel Voronezh,RU1,,24,27.2,4,16.7,1,Fakel,10052,€-131k,Igor Cherevchenko,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fakel-voronezh/startseite/verein/1124
11282,alanyaspor,Alanyaspor,TR1,,28,25.9,13,46.4,6,Alanya Oba Stadyumu,9727,€-1.20m,João Pereira,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/alanyaspor/startseite/verein/11282
1132,fc-burnley,Burnley FC,GB1,,30,25.9,24,80.0,12,Turf Moor,21994,€-6.50m,Scott Parker,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fc-burnley/startseite/verein/1132
11380,scm-gloria-buzau,ASFC Buzau (2016-2025),RO1,,0,0.0,0,,0,Gloria,12336,+-0,Andrei Prepeliță,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/scm-gloria-buzau/startseite/verein/11380
114,besiktas-istanbul,Beşiktaş Jimnastik Kulübü,TR1,,28,26.2,14,50.0,10,Beşiktaş Park,42684,€-27.96m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/besiktas-istanbul/startseite/verein/114
1146,club-necaxa,Club Necaxa,MEX1,,26,25.1,12,46.2,0,Estadio Victoria,23851,€-422k,Fernando Gago,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/club-necaxa/startseite/verein/1146
1147,ac-ajaccio,AC Ajaccio,FR1,,24,27.5,11,45.8,6,Stade François-Coty,10446,+-0,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/ac-ajaccio/startseite/verein/1147
1148,fc-brentford,Brentford FC,GB1,,34,25.0,25,73.5,16,Gtech Community Stadium,17250,€-28.50m,Keith Andrews,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fc-brentford/startseite/verein/1148
114977,san-diego-fc,San Diego Football Club,MLS1,,28,25.9,18,64.3,5,Snapdragon Stadium,35000,€-3.81m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/san-diego-fc/startseite/verein/114977
1158,fc-lorient,FC Lorient,FR1,,23,25.6,14,60.9,8,Stade du Moustoir,16787,€-1.00m,Olivier Pantaloni,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fc-lorient/startseite/verein/1158
1159,as-nancy-lorraine,AS Nancy-Lorraine,FR1,,27,25.7,5,18.5,0,Stade Marcel-Picot,20087,+-0,,2016,../data/raw/transfermarkt-scraper/2016/clubs.json.gz,https://www.transfermarkt.co.uk/as-nancy-lorraine/startseite/verein/1159
1160,nimes-olympique,Nîmes Olympique,FR1,,26,25.4,12,46.2,3,Stade des Antonins,8033,+€2.50m,,2020,../data/raw/transfermarkt-scraper/2020/clubs.json.gz,https://www.transfermarkt.co.uk/nimes-olympique/startseite/verein/1160
1162,sm-caen,SM Caen,FR1,,27,25.7,12,44.4,4,Stade Michel-d'Ornano,20500,+€3.05m,,2018,../data/raw/transfermarkt-scraper/2018/clubs.json.gz,https://www.transfermarkt.co.uk/sm-caen/startseite/verein/1162
11648,independiente-santa-fe,Independiente Santa Fe,COL1,,26,29.4,4,15.4,0,Estadio Nemesio Camacho (El Campín),36343,+-0,Pablo Peirano,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/independiente-santa-fe/startseite/verein/11648
11688,giresunspor,Giresunspor,TR1,,17,22.5,1,5.9,1,Çotanak Spor Kompleksi,21500,+-0,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/giresunspor/startseite/verein/11688
1177,silkeborg-if,Silkeborg IF,DK1,,24,23.3,6,25.0,1,JYSK Park,10000,+-0,Kent Nielsen,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/silkeborg-if/startseite/verein/1177
11831,club-atletico-tigre,Club Atlético Tigre,ARG1,,30,26.0,3,10.0,0,José Dellagiovanna,26282,+€915k,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/club-atletico-tigre/startseite/verein/11831
118373,auckland-fc,Auckland FC,AUS1,,29,25.1,8,27.6,7,Mount Smart Stadium,25000,+-0,Steve Corica,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/auckland-fc/startseite/verein/118373
1184,krc-genk,KRC Genk,BE1,,28,23.9,16,57.1,10,Cegeka Arena,23718,€-5.50m,Thorsten Fink,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/krc-genk/startseite/verein/1184
11854,junior-fc,Junior FC,COL1,,26,29.3,3,11.5,0,Metropolitano Roberto Meléndez,46692,+€4.95m,Arturo Reyes,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/junior-fc/startseite/verein/11854
1186,torpedo-moskau,Torpedo Moscow,RU1,,28,25.6,6,23.1,3,Luzhniki Stadium,81000,€-2.05m,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/torpedo-moskau/startseite/verein/1186
1191,falkirk-fc,Falkirk FC,SC1,,22,26.5,5,22.7,2,The Falkirk Stadium,7937,+€1.50m,John McGlynn,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/falkirk-fc/startseite/verein/1191
12,as-rom,Associazione Sportiva Roma,IT1,,27,26.3,19,70.4,13,Olimpico di Roma,70634,€-24.45m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/as-rom/startseite/verein/12
120,kocaelispor,Kocaelispor,TR1,,28,25.8,13,46.4,4,Turka Araç Muayene Kocaeli Stadyumu,34829,€-700k,Selçuk İnan,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/kocaelispor/startseite/verein/120
121,dinamo-moskau,FK Dinamo Moskva,RU1,,30,25.9,13,43.3,12,VTB-Arena,25716,€-14.19m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/dinamo-moskau/startseite/verein/121
1210,as-livorno,US Livorno 1915,IT1,,29,24.1,5,17.2,0,Armando Picchi,19238,+-0,,2013,../data/raw/transfermarkt-scraper/2013/clubs.json.gz,https://www.transfermarkt.co.uk/as-livorno/startseite/verein/1210
12179,independiente-rivadavia,Club Sportivo Independiente Rivadavia,ARG1,,28,27.1,6,21.4,1,Bautista Gargantini,24000,€-3.86m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/independiente-rivadavia/startseite/verein/12179
122,sk-sturm-graz,Sportklub Puntigamer Sturm Graz,A1,,26,24.3,16,61.5,9,Merkur Arena,16364,+€3.03m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/sk-sturm-graz/startseite/verein/122
12301,club-atletico-aldosivi,Club Atlético Aldosivi,ARG1,,33,27.6,2,6.1,0,José María Minella,35180,+€2.56m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/club-atletico-aldosivi/startseite/verein/12301
12321,fc-girona,Girona FC,ES1,,25,25.2,14,56.0,5,Montilivi,14624,+€13.80m,Míchel,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fc-girona/startseite/verein/12321
1234,club-atletico-independiente,Club Atlético Independiente de Avellaneda,ARG1,,26,27.9,7,26.9,5,Libertadores de América-Ricardo Enrique Bochini,48069,€-1.86m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/club-atletico-independiente/startseite/verein/1234
1236,osters-if,Östers IF,SE1,,25,24.5,8,32.0,1,Spiris Arena,12000,+€2.97m,Martin Foyston,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/osters-if/startseite/verein/1236
1237,brighton-amp-hove-albion,Brighton & Hove Albion,GB1,,37,25.0,29,78.4,19,AMEX Stadium,31876,€-8.70m,Fabian Hürzeler,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/brighton-amp-hove-albion/startseite/verein/1237
124,glasgow-rangers,Rangers FC,SC1,,30,25.5,21,70.0,16,Ibrox Stadium,50987,€-4.80m,Russell Martin,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/glasgow-rangers/startseite/verein/124
1241,livingston-fc,Livingston FC,SC1,,26,28.3,13,50.0,2,Home of the Set Fare Arena,9512,+-0,David Martindale,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/livingston-fc/startseite/verein/1241
12438,volga-nizhniy-novgorod,Volga Nizhniy Novgorod (- 2016),RU1,,0,,0,,0,Zentralstadion Lokomotiv,17856,+-0,,2013,../data/raw/transfermarkt-scraper/2013/clubs.json.gz,https://www.transfermarkt.co.uk/volga-nizhniy-novgorod/startseite/verein/12438
1244,cd-leganes,CD Leganés,ES1,,24,27.7,5,20.8,3,Ontime Butarque,14422,+€17.05m,Borja Jiménez,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/cd-leganes/startseite/verein/1244
1245,kas-eupen,KAS Eupen,BE1,,25,24.0,16,64.0,6,Kehrweg-Stadion,8361,+€1.00m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/kas-eupen/startseite/verein/1245
12454,club-atletico-sarmiento-junin-,Club Atlético Sarmiento,ARG1,,30,27.0,5,16.7,0,Eva Perón,23156,+€853k,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/club-atletico-sarmiento-junin-/startseite/verein/12454
